,Id,Target
103,19585_152_H8_2,7
104,19585_198_H8_1,7
105,19585_198_H8_2,7
106,19763_234_C2_1,14
107,19763_234_C2_2,14
108,19763_235_C2_1,14
109,19763_235_C2_2,14
110,19763_535_C2_1,14
111,19763_535_C2_2,14
112,20280_1126_B6_1,25 21
113,20280_1126_B6_3,25 21
114,20280_1293_C3_1,25 21
115,20280_1293_C3_4,25 21
116,20280_182_C1_1,25 21
117,20280_182_C1_2,25 21
118,22853_215_E6_1,23
119,22853_215_E6_2,23
120,22853_216_E6_1,23
121,22853_216_E6_2,23
122,22853_217_E6_1,23
123,22853_217_E6_2,23
124,22869_236_F8_1,25 1
125,22869_236_F8_2,25 1
126,22869_237_F8_1,25 1
127,22869_237_F8_2,25 1
128,22869_268_F8_1,25 1
129,22869_268_F8_2,25 1
130,22961_192_C3_1,25 0
131,22961_192_C3_2,25 0
132,22961_193_C3_1,25 0
133,22961_193_C3_2,25 0
134,22961_194_C3_1,25 0
135,22961_194_C3_2,25 0
136,23043_192_C4_1,23
137,23043_192_C4_2,23
138,23043_193_C4_1,23
139,23043_193_C4_2,23
140,23043_194_C4_1,23
141,23043_194_C4_2,23
142,23048_263_B4_1,23 0
143,23048_263_B4_2,23 0
144,23048_264_B4_1,23 0
145,23048_264_B4_2,23 0
146,23048_277_B4_1,23 0
147,23048_277_B4_2,23 0
148,23623_192_D12_1,25 21
149,23623_192_D12_2,25 21
150,23623_193_D12_1,25 21
151,23623_193_D12_2,25 21
152,23623_194_D12_1,25 21
153,23623_194_D12_2,25 21
154,23708_236_D12_1,25 0
155,23708_236_D12_2,25 0
156,23708_237_D12_1,25 0
157,23708_237_D12_2,25 0
158,23708_268_D12_1,25 0
159,23708_268_D12_2,25 0
160,23972_278_E7_1,1
161,23972_278_E7_2,1
162,23972_279_E7_1,1
163,23972_279_E7_2,1
164,23972_280_E7_1,1
165,23972_280_E7_2,1
166,24457_195_E7_1,25 0
167,24457_195_E7_2,25 0
168,24457_196_E7_1,25 0
169,24457_196_E7_2,25 0
170,24457_197_E7_1,25 0
171,24457_197_E7_2,25 0
172,24573_239_C7_1,2 25
173,24573_239_C7_2,2 25
174,24573_240_C7_1,2 25
175,24573_240_C7_2,2 25
176,24573_241_C7_1,2 25
177,24573_241_C7_2,2 25
178,2561_56_B11_1,25
179,2561_56_B11_2,25
180,2561_57_B11_1,25
181,2561_57_B11_4,25
182,2561_58_B11_1,25
183,2561_58_B11_2,25
184,261_56_H9_1,25 12
185,261_56_H9_2,25 12
186,261_57_H9_1,25 12
187,261_57_H9_2,25 12
188,27021_1746_D1_2,0 25 7
189,27021_1746_D1_3,0 25 7
190,27021_249_B11_1,0 25 7
191,27021_249_B11_2,0 25 7
192,27021_251_B11_1,0 25 7
193,27021_251_B11_2,0 25 7
194,27218_230_H4_1,25 0
195,27218_230_H4_2,25 0
196,27218_231_H4_1,25 0
197,27218_231_H4_2,25 0
198,27218_232_H4_1,25 0
199,27218_232_H4_2,25 0
200,28086_1695_H1_18_cr57d81acbe63b0,25
201,28086_1695_H1_8_cr58008561c9706,25
202,28086_1702_E9_31,25
203,28086_1702_E9_32,25
204,28490_505_H2_1,4 18 0
205,28490_505_H2_2,4 18 0
206,28490_508_H2_1,4 18 0
207,28490_508_H2_2,4 18 0
208,28490_548_H2_1,4 18 0
209,28490_548_H2_2,4 18 0
210,28660_1386_A3_1,22
211,28660_1386_A3_2,22
212,29179_1168_B11_3,26 21
213,29179_1168_B11_4,26 21
214,29179_1257_B11_2,26 21
215,29179_1257_B11_6,26 21
216,29179_1766_H10_1,26 21
217,29179_1766_H10_2,26 21
218,2954_17_H3_1,5 25 0
219,2954_17_H3_2,5 25 0
220,2954_18_H3_1,5 25 0
221,2954_18_H3_2,5 25 0
222,29803_332_H10_3,13 21
223,29803_332_H10_5,13 21
224,29803_334_H10_7,13 21
225,29803_334_H10_9,13 21
226,30449_298_G3_1,2 25 6
227,30449_298_G3_2,2 25 6
228,30449_299_G3_3,2 25 6
229,30449_299_G3_4,2 25 6
230,30449_300_G3_8,2 25 6
231,30449_300_G3_9,2 25 6
232,30471_1445_C9_1,5 2 25
233,30471_1445_C9_2,5 2 25
234,30471_1450_C9_3,5 2 25
235,30471_1450_C9_4,5 2 25
236,30471_1564_A5_1,5 2 25
237,30471_1564_A5_2,5 2 25
238,30472_364_A5_1,5 2 25
239,30472_364_A5_2,5 2 25
240,30472_365_A5_2,5 2 25
241,30472_365_A5_3,5 2 25
242,30472_369_A5_2,5 2 25
243,30472_369_A5_3,5 2 25
244,3064_1198_C4_1,0
245,3064_1198_C4_2,0
246,3064_1201_C4_1,0
247,3064_1201_C4_2,0
248,3064_1226_F10_1,0
249,3064_1226_F10_2,0
250,30902_381_C5_1,4
251,30902_381_C5_2,4
252,30902_389_C5_1,4
253,30902_389_C5_2,4
254,30902_398_C5_1,4
255,30902_398_C5_2,4
256,30903_599_B12_1,4
257,30903_599_B12_2,4
258,30903_601_B12_1,4
259,30903_601_B12_4,4
260,30903_603_B12_1,4
261,30903_603_B12_2,4
262,31124_1240_A7_3,3 22
263,31124_1240_A7_4,3 22
264,31124_331_G5_1,3 22
265,31124_331_G5_3,3 22
266,31124_333_G5_1,3 22
267,31124_333_G5_2,3 22
268,31240_1645_E5_33,18 17
269,31240_1645_E5_34,18 17
270,31240_1660_E6_1,18 17
271,31240_1660_E6_2,18 17
272,3152_59_E10_1,3
273,3152_59_E10_2,3
274,3152_60_E10_1,3
275,3152_60_E10_2,3
276,3152_61_E10_1,3
277,3152_61_E10_2,3
278,3203_1124_H9_2,19 25
279,3203_1124_H9_3,19 25
280,3203_59_H10_1,25 19
281,3203_59_H10_2,25 19
282,3203_61_H10_1,19 25
283,3203_61_H10_2,25 19
284,3243_32_D5_1,25 5 22 21
285,3243_32_D5_2,25 5 22 21
286,3243_33_D5_1,25 5 22 21
287,3243_33_D5_2,25 5 22 21
288,3243_34_D5_1,22 5 25 21
289,3243_34_D5_2,25 5 22 21
290,3311_1150_D4_2,19
291,3311_1150_D4_3,19
292,3311_1596_G10_1,19
293,3311_1596_G10_2,19
294,3311_59_F11_1,19
295,3311_59_F11_2,19
296,3384_32_B2_1,25
297,3384_32_B2_2,25
298,3384_33_B2_1,25
299,3384_33_B2_2,25
300,3384_34_B2_1,25
301,3384_34_B2_2,25
302,3424_1445_A10_1,23 25
303,3424_1445_A10_5,23 25
304,3424_1450_A10_1,23 25
305,3424_1450_A10_2,23 25
306,3424_1476_G10_2,23 25
307,3424_1476_G10_5,23 25
308,34583_712_C3_1,0
309,34583_712_C3_2,0
310,34583_804_C3_1,0
311,34583_804_C3_2,0
312,34583_964_C3_1,0
313,34583_964_C3_2,0
314,34745_380_G8_1,0 16
315,34745_380_G8_2,16 0
316,34745_382_G8_1,0 16
317,34745_382_G8_2,16 0
318,34745_397_G8_2,16 0
319,34745_397_G8_3,16 0
320,34746_380_G11_1,0 16
321,34746_380_G11_2,0 16
322,34746_382_G11_1,16 0
323,34746_382_G11_2,0 16
324,34746_397_G11_1,0 16
325,34746_397_G11_2,0 16
326,35311_376_G11_2,0
327,35311_376_G11_3,0
328,35311_378_G11_1,0
329,35311_378_G11_2,0
330,35311_383_G11_4,0
331,35311_383_G11_5,0
332,36422_434_H4_1,4
333,36422_434_H4_2,4
334,36422_450_H4_1,4
335,36422_450_H4_3,4
336,36422_453_H4_3,4
337,36422_453_H4_4,4
338,3734_56_A8_1,7
339,3734_56_A8_2,7
340,3734_57_A8_1,7
341,3734_57_A8_2,7
342,3734_58_A8_1,7
343,3734_58_A8_2,7
344,37737_1000_C8_1,25 0
345,37737_1000_C8_2,25 0
346,37737_1003_C8_1,25 0
347,37737_1003_C8_2,25 0
348,37737_1145_C9_1,25 0
349,37737_1145_C9_2,25 0
350,37827_422_A11_1,23
351,37827_422_A11_2,23
352,37827_423_A11_1,23
353,37827_423_A11_2,23
354,37827_426_A11_1,23
355,37827_426_A11_2,23
356,37983_754_D10_5,25 19
357,37983_754_D10_6,25 19
358,37983_758_D10_1,25 19
359,37983_758_D10_2,25 19
360,37983_813_D10_2,25 19
361,37983_813_D10_3,25 19
362,38575_1253_B10_1,6
363,38575_1253_B10_3,6
364,38575_431_B8_1,6
365,38575_431_B8_2,6
366,38575_443_B8_1,6
367,38575_443_B8_2,6
368,38713_1142_C1_8,21 0
369,38713_1142_C1_9,21 0
370,38713_1253_A10_2,21 0
371,38713_1253_A10_3,21 0
372,38713_443_F7_5,21 0
373,38713_443_F7_6,21 0
374,3875_1566_D11_1,25 21 0
375,3875_1566_D11_2,25 21 0
376,3875_1568_D11_1,25 21 0
377,3875_1568_D11_2,25 21 0
378,3875_1579_E5_1,25 21 0
379,3875_1579_E5_2,25 21 0
380,38764_1046_F10_3,21
381,38764_1046_F10_4,21
382,38764_1179_F12_1,21
383,38764_1179_F12_3,21
384,38764_537_H2_1,21
385,38764_537_H2_2,21
386,3881_32_G11_1,0
387,3881_32_G11_2,0
388,3881_34_G11_1,0
389,3881_34_G11_2,0
390,38873_517_G12_1,23
391,38873_517_G12_2,23
392,38873_520_G12_1,23
393,38873_520_G12_3,23
394,38873_523_G12_2,23
395,38873_523_G12_3,23
396,38925_537_C10_2,25
397,38925_537_C10_3,25
398,38925_540_C10_1,25
399,38925_540_C10_2,25
400,38934_563_D7_1,25
401,38934_563_D7_2,25
402,38934_566_D7_1,25
403,38934_566_D7_2,25
404,38934_569_D7_1,25
405,38934_569_D7_4,25
406,3920_71_C2_1,25 21
407,3920_71_C2_2,25 21
408,3920_72_C2_1,25 21
409,3920_72_C2_2,25 21
410,3920_73_C2_1,25 21
411,3920_73_C2_2,25 21
412,39247_563_B12_1,14
413,39247_563_B12_2,14
414,39247_566_B12_1,14
415,39247_566_B12_2,14
416,39247_569_B12_1,14
417,39247_569_B12_2,14
418,39501_468_F6_2,25 7
419,39501_468_F6_3,25 7
420,39501_470_F6_1,25 7
421,39501_470_F6_2,25 7
422,39501_473_F6_3,25 7
423,39501_473_F6_4,25 7
424,39954_824_E3_3,5 25 0
425,39954_824_E3_5,5 25 0
426,39954_884_E3_2,5 25 0
427,39954_884_E3_4,5 25 0
428,39954_978_E3_1,5 25 0
429,39954_978_E3_2,5 25 0
430,40736_754_F7_4,21 7
431,40736_754_F7_5,21 7
432,40736_758_F7_1,21 7
433,40736_758_F7_2,21 7
434,40736_813_F7_1,21 7
435,40736_813_F7_4,21 7
436,4099_74_A4_1,25
437,4099_74_A4_2,25
438,4099_75_A4_1,25
439,4099_75_A4_2,25
440,4099_76_A4_1,25
441,4099_76_A4_2,25
442,42122_537_F5_1,25
443,42122_537_F5_2,25
444,42122_540_F5_1,25
445,42122_540_F5_9,25
446,42122_553_F5_1,25
447,42122_553_F5_2,25
448,42123_754_E8_4,5 0
449,42123_754_E8_5,5 0
450,42123_758_E8_3,5 0
451,42123_758_E8_4,5 0
452,42123_813_E8_2,5 0
453,42123_813_E8_4,5 0
454,42125_751_G11_1,0
455,42125_751_G11_2,0
456,42125_805_D1_1,0
457,42125_805_D1_2,0
458,42141_1128_E7_4,2 19
459,42141_1128_E7_5,2 19
460,42141_758_G7_1,2 19
461,42141_758_G7_2,2 19
462,42141_813_G7_2,2 19
463,42141_813_G7_3,2 19
464,42528_807_F5_1,0
465,42528_807_F5_2,0
466,42528_979_H9_1,0
467,42528_979_H9_2,0
468,42642_640_B12_1,19
469,42642_640_B12_2,19
470,42642_641_B12_1,19
471,42642_641_B12_4,19
472,42642_642_B12_1,19
473,42642_642_B12_2,19
474,42689_468_F7_1,25
475,42689_468_F7_2,25
476,42689_470_F7_1,25
477,42689_470_F7_3,25
478,42689_473_F7_2,25
479,42689_473_F7_4,25
480,42715_767_H10_1,23 25
481,42715_767_H10_2,23 25
482,42715_779_H10_1,23 25
483,42715_779_H10_2,23 25
484,42715_820_F8_1,23 25
485,42715_820_F8_2,23 25
486,42720_1704_C11_18_cr57d8265f33e20,6
487,42720_1704_C11_22_cr57d82666cb4a8,6
488,42720_1762_E1_3,6
489,42720_1762_E1_4,6
490,42720_491_G8_1,6
491,42720_491_G8_2,6
492,42759_575_B4_1,21
493,42759_575_B4_2,21
494,43069_599_E9_1,23
495,43069_599_E9_2,23
496,43069_601_E9_1,23
497,43069_601_E9_3,23
498,43069_603_E9_1,23
499,43069_603_E9_2,23
500,43131_469_D8_1,25
501,43131_469_D8_2,25
502,43131_472_D8_1,25
503,43131_472_D8_2,25
504,43131_476_D8_1,25
505,43131_476_D8_2,25
506,43232_859_A4_1,25 21 7
507,43232_859_A4_2,25 21 7
508,43232_862_A4_1,25 21 7
509,43232_862_A4_2,25 21 7
510,43271_728_A6_1,25 21
511,43271_728_A6_2,25 21
512,43271_748_A6_1,25 21
513,43271_748_A6_2,25 21
514,43271_896_A6_1,25 21
515,43271_896_A6_2,25 21
516,4334_1081_B2_1,25 22
517,4334_1081_B2_2,25 22
518,4334_62_E12_1,25 22
519,4334_62_E12_2,25 22
520,4334_63_E12_1,25 22
521,4334_63_E12_2,25 22
522,43684_822_B12_1,14
523,43684_822_B12_2,14
524,43684_831_G9_1,14
525,43684_831_G9_2,14
526,43684_882_G9_1,14
527,43684_882_G9_4,14
528,43705_550_F11_1,23
529,43705_550_F11_4,23
530,43705_567_F11_1,23
531,43705_567_F11_2,23
532,43724_504_E8_2,25 6
533,43724_504_E8_3,25 6
534,43724_506_E8_1,25 6
535,43724_506_E8_2,25 6
536,43724_555_E8_1,25 6
537,43724_555_E8_2,25 6
538,43729_1026_D8_1,25 0
539,43729_1026_D8_2,25 0
540,43729_954_B12_1,25 0
541,43729_954_B12_2,25 0
542,43729_956_B12_3,25 0
543,43729_956_B12_5,25 0
544,43789_550_E12_1,0
545,43789_550_E12_2,0
546,43789_559_E12_1,0
547,43789_559_E12_2,0
548,43789_567_E12_1,0
549,43789_567_E12_2,0
550,44629_824_C1_2,23
551,44629_824_C1_3,23
552,44629_884_C1_1,23
553,44629_884_C1_3,23
554,44629_978_C1_1,23
555,44629_978_C1_2,23
556,44735_1354_A6_1,2
557,44735_1354_A6_4,2
558,44833_522_F11_1,0
559,44833_522_F11_2,0
560,44833_527_F11_3,0
561,44833_527_F11_4,0
562,44833_529_F11_1,0
563,44833_529_F11_2,0
564,44839_579_D7_1,23
565,44839_579_D7_2,23
566,44839_581_D7_1,23
567,44839_581_D7_2,23
568,44839_591_D7_1,23
569,44839_591_D7_2,23
570,45034_1203_A5_1,2 25
571,45034_1203_A5_3,2 25
572,45034_861_E5_1,2 25
573,45034_861_E5_2,2 25
574,45034_880_E5_1,2 25
575,45034_880_E5_3,2 25
576,45042_1413_A5_1,21
577,45042_1413_A5_3,21
578,45244_1635_C3_31,3
579,45244_1635_C3_32,3
580,45244_1658_H1_1,3
581,45244_1658_H1_3,3
582,45244_738_E8_1,3
583,45244_738_E8_2,3
584,45246_1391_B9_1,0
585,45246_1391_B9_2,0
586,45246_808_A11_3,0
587,45246_808_A11_5,0
588,45246_855_A11_1,0
589,45246_855_A11_2,0
590,452_1715_H1_31,11
591,452_1715_H1_32,11
592,452_1790_A8_1,11
593,452_1790_A8_5,11
594,45307_526_G11_1,6
595,45307_526_G11_2,6
596,45307_528_G11_1,6
597,45307_528_G11_2,6
598,45307_545_G11_1,6
599,45307_545_G11_2,6
600,45423_579_D9_1,25
601,45423_579_D9_2,25
602,45423_581_D9_2,25
603,45423_581_D9_3,25
604,45423_591_D9_1,25
605,45423_591_D9_2,25
606,45652_1452_B3_1,3
607,45652_1452_B3_2,3
608,45652_1517_B3_1,3
609,45652_1517_B3_2,3
610,45652_1564_E8_1,3
611,45652_1564_E8_2,3
612,45683_1397_A4_1,2
613,45683_1397_A4_3,2
614,45683_1402_A4_10,2
615,45683_1402_A4_11,2
616,45683_1440_H11_2,2
617,45683_1440_H11_5,2
618,45697_1168_D8_2,11
619,45697_1168_D8_3,11
620,45697_1257_D8_4,11
621,45697_1257_D8_5,11
622,45697_1715_H5_3_cr57fd30536afd1,11
623,45697_1715_H5_7_cr57fd305ca4e80,11
624,46346_740_G11_4,2 25
625,46346_740_G11_6,2 25
626,46346_784_G11_1,2 25
627,46346_784_G11_2,2 25
628,46346_876_E3_1,2 25
629,46346_876_E3_2,2 25
630,46368_716_G6_1,25 19
631,46368_716_G6_2,25 19
632,46368_719_G6_1,25 19
633,46368_719_G6_3,25 19
634,46368_764_G6_1,25 19
635,46368_764_G6_2,25 19
636,46385_1334_C4_1,25 6
637,46385_1334_C4_2,25 6
638,46385_765_C4_1,25 6
639,46385_765_C4_2,25 6
640,46385_771_C4_1,25 6
641,46385_771_C4_2,25 6
642,46388_738_E12_1,23
643,46388_738_E12_3,23
644,46388_750_E12_1,23
645,46388_750_E12_2,23
646,46388_871_C6_1,23
647,46388_871_C6_2,23
648,46423_918_G10_1,0
649,46423_918_G10_2,0
650,46423_981_B5_2,0
651,46423_981_B5_4,0
652,46423_984_B5_1,0
653,46423_984_B5_2,0
654,46590_738_H9_1,21 0
655,46590_738_H9_2,21 0
656,46590_750_H9_1,21 0
657,46590_750_H9_2,21 0
658,46590_871_B6_3,21 0
659,46590_871_B6_5,21 0
660,46695_740_A12_5,2 25
661,46695_740_A12_7,2 25
662,46695_784_A12_1,2 25
663,46695_784_A12_2,2 25
664,46695_837_H4_11,2 25
665,46695_837_H4_6,2 25
666,46835_824_H5_1,23
667,46835_824_H5_2,23
668,46835_884_H5_1,23
669,46835_884_H5_2,23
670,46835_978_H5_1,23
671,46835_978_H5_2,23
672,46872_573_E10_3,2
673,46872_573_E10_4,2
674,46872_589_E10_1,2
675,46872_589_E10_2,2
676,46872_709_E10_1,2
677,46872_709_E10_2,2
678,46876_573_C10_3,25
679,46876_573_C10_4,25
680,46876_589_C10_1,25
681,46876_589_C10_2,25
682,46876_709_C10_2,25
683,46876_709_C10_3,25
684,46943_1137_A4_1,23
685,46943_1137_A4_2,23
686,46943_573_G2_3,23
687,46943_573_G2_4,23
688,46970_589_A5_1,0
689,46970_589_A5_2,0
690,46987_1354_A1_2,2
691,46987_1354_A1_5,2
692,47001_735_B4_1,4
693,47001_735_B4_2,4
694,47001_742_H8_2,4
695,47001_742_H8_3,4
696,47001_749_B4_1,4
697,47001_749_B4_2,4
698,47027_1472_C8_2,25
699,47027_1472_C8_5,25
700,47027_573_B7_3,25
701,47027_573_B7_4,25
702,47027_709_B7_2,25
703,47027_709_B7_3,25
704,47038_739_B7_1,0
705,47038_739_B7_2,0
706,47038_753_B7_1,0
707,47038_753_B7_2,0
708,47038_864_E6_1,0
709,47038_864_E6_2,0
710,47097_1334_F3_1,25
711,47097_1334_F3_2,25
712,47097_735_G3_1,25
713,47097_735_G3_2,25
714,47097_749_G3_1,25
715,47097_749_G3_2,25
716,47157_776_D7_1,25 21
717,47157_776_D7_2,25 21
718,47157_789_D7_1,25 21
719,47157_789_D7_2,25 21
720,47217_711_D7_1,2 25
721,47217_711_D7_2,2 25
722,47217_723_D7_1,2 25
723,47217_723_D7_2,2 25
724,47217_866_D7_1,2 25
725,47217_866_D7_2,2 25
726,47232_1444_B1_1,2 21
727,47232_1444_B1_4,2 21
728,47232_1449_B1_6,2 21
729,47232_1449_B1_7,2 21
730,47232_1462_B5_1,2 21
731,47232_1462_B5_2,2 21
732,47366_1375_B3_1,25 0
733,47366_1375_B3_2,25 0
734,47366_1384_B3_1,25 0
735,47366_1384_B3_3,25 0
736,47366_1441_D8_1,25 0
737,47366_1441_D8_3,25 0
738,47397_766_C2_1,5 2
739,47397_766_C2_2,5 2
740,47397_778_C2_3,5 2
741,47397_778_C2_4,5 2
742,47397_821_H1_1,5 2
743,47397_821_H1_2,5 2
744,47443_792_C9_11,14
745,47443_792_C9_7,14
746,47443_795_C9_7,14
747,47443_795_C9_8,14
748,47443_799_C9_1,14
749,47443_799_C9_2,14
750,47451_1391_F6_1,0
751,47451_1391_F6_2,0
752,47451_835_G4_1,0
753,47451_835_G4_2,0
754,47457_780_F11_1,2 0
755,47457_780_F11_2,2 0
756,47457_788_F11_1,2 0
757,47457_788_F11_2,2 0
758,47457_864_D11_1,2 0
759,47457_864_D11_2,2 0
760,47533_1145_D10_1,1 7
761,47533_1145_D10_2,1 7
762,47533_735_D8_1,1 7
763,47533_735_D8_2,1 7
764,47533_749_D8_1,1 7
765,47533_749_D8_2,1 7
766,47679_1240_B9_2,23
767,47679_1240_B9_4,23
768,47679_791_D9_1,23
769,47679_791_D9_2,23
770,47679_794_D9_1,23
771,47679_794_D9_2,23
772,47725_739_E8_3,7
773,47725_739_E8_4,7
774,47725_753_E8_1,7
775,47725_753_E8_2,7
776,47725_876_C4_1,7
777,47725_876_C4_2,7
778,47814_1397_D11_5,25 21
779,47814_1397_D11_6,25 21
780,47814_1495_G5_10,25 21
781,47814_1495_G5_7,25 21
782,47814_1774_F8_40,25 21
783,47814_1774_F8_42,25 21
784,47843_728_F7_1,25
785,47843_728_F7_2,25
786,47843_748_F7_1,25
787,47843_748_F7_2,25
788,47843_896_F7_1,25
789,47843_896_F7_2,25
790,47844_728_G7_1,2 25
791,47844_728_G7_2,2 25
792,47844_748_G7_1,2 25
793,47844_748_G7_2,2 25
794,47844_896_G7_1,2 25
795,47844_896_G7_2,2 25
796,47849_824_B6_1,25 0
797,47849_824_B6_4,25 0
798,47849_884_B6_3,25 0
799,47849_884_B6_4,25 0
800,47849_978_B6_1,25 0
801,47849_978_B6_4,25 0
802,47864_1623_H4_3,23
803,47864_1623_H4_6,23
804,47864_1645_G11_15_cr57b568eb09215,23
805,47864_1645_G11_19_cr57b568f223f4d,23
806,47864_781_D11_1,23
807,47864_781_D11_2,23
808,47929_1609_D4_1,19
809,47929_1609_D4_2,19
810,47929_1625_F7_1,19
811,47929_1625_F7_2,19
812,47929_1634_D4_1,19
813,47929_1634_D4_2,19
814,48064_791_F1_1,5 0
815,48064_791_F1_2,5 0
816,48064_794_F1_1,5 0
817,48064_794_F1_2,5 0
818,48064_798_F1_1,5 0
819,48064_798_F1_2,5 0
820,48084_711_D10_1,25
821,48084_711_D10_2,25
822,48084_723_D10_4,25
823,48084_723_D10_5,25
824,48320_1711_H9_1,4 21
825,48320_1711_H9_2,4 21
826,48320_1712_B12_14_cr5804a7b6268fd,4 21
827,48320_1712_B12_24_cr5804a7c7dcdc9,4 21
828,48320_1737_C3_13_cr58063ebd153c9,4 21
829,48320_1737_C3_2_cr58063eb3ccd17,4 21
830,48671_716_D7_1,25 0
831,48671_716_D7_2,25 0
832,48671_719_D7_1,25 0
833,48671_719_D7_2,25 0
834,48671_764_D7_1,25 0
835,48671_764_D7_2,25 0
836,49324_1150_D11_2,25
837,49324_1150_D11_3,25
838,49324_1533_B4_1,25
839,49324_1533_B4_3,25
840,49495_735_G7_1,25
841,49495_735_G7_2,25
842,49495_749_G7_1,25
843,49495_749_G7_2,25
844,49495_762_E12_1,25
845,49495_762_E12_2,25
846,49546_756_G8_1,3
847,49546_756_G8_2,3
848,49546_760_G8_2,3
849,49546_760_G8_4,3
850,49546_775_G8_3,3
851,49546_775_G8_4,3
852,49817_780_F6_3,0 1
853,49817_780_F6_6,0 1
854,49817_788_F6_1,0 1
855,49817_788_F6_2,0 1
856,49817_863_F4_1,0 1
857,49817_863_F4_3,0 1
858,49866_735_A9_1,11
859,49866_735_A9_2,11
860,49866_749_A9_1,11
861,49866_749_A9_2,11
862,49866_823_E1_2,11
863,49866_823_E1_3,11
864,49905_1182_E9_2,25
865,49905_1182_E9_3,25
866,49905_911_C8_1,25
867,49905_911_C8_2,25
868,49905_912_C8_1,25
869,49905_912_C8_2,25
870,49949_827_F8_1,25
871,49949_827_F8_2,25
872,49949_829_F8_3,25
873,49949_829_F8_4,25
874,49949_977_F8_1,25
875,49949_977_F8_3,25
876,499_56_B10_1,7
877,499_56_B10_2,7
878,499_57_B10_1,7
879,499_57_B10_2,7
880,499_58_B10_1,7
881,499_58_B10_2,7
882,50126_776_C8_1,0
883,50126_776_C8_3,0
884,50126_789_C8_1,0
885,50126_789_C8_2,0
886,50126_899_C8_1,0
887,50126_899_C8_2,0
888,50196_787_E8_1,25
889,50196_787_E8_2,25
890,50196_840_G8_1,25
891,50196_840_G8_2,25
892,50374_777_C1_1,0
893,50374_777_C1_2,0
894,50374_790_C1_1,0
895,50374_790_C1_2,0
896,50374_816_C1_2,0
897,50374_816_C1_3,0
898,50406_765_B12_1,3 23
899,50406_765_B12_3,3 23
900,50406_771_B12_1,3 23
901,50406_771_B12_4,3 23
902,50406_979_D10_1,3 23
